epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3121,1.38241,3.36117,1.21376,0.51207,0.26358,0.41101,0.28561,1.10674,2.57408,1.03116,0.000550705,0.000550705,0.000550705
2,41.3382,1.22575,2.31364,1.14129,0.39614,0.71776,0.40101,0.2568,1.19977,2.28523,1.14912,0.00105161,0.00105161,0.00105161
3,61.9106,1.24542,1.98952,1.16725,0.42329,0.74444,0.44925,0.28362,1.25898,1.55846,1.16553,0.0014975,0.0014975,0.0014975
4,80.647,1.23158,1.77773,1.15202,0.44683,0.63517,0.45238,0.30184,1.15169,1.60329,1.11561,0.00141945,0.00141945,0.00141945
5,101.836,1.19973,1.61647,1.13945,0.44406,0.77392,0.45315,0.31016,1.15127,1.36426,1.08644,0.00133693,0.00133693,0.00133693
6,120.973,1.17193,1.50307,1.13369,0.4195,0.81078,0.46174,0.31522,1.07145,1.41291,1.08877,0.00125442,0.00125442,0.00125442
7,141.541,1.12547,1.41778,1.09292,0.43281,0.8064,0.47443,0.33129,1.09594,1.34776,1.07873,0.0011719,0.0011719,0.0011719
8,160.92,1.11918,1.34182,1.09534,0.43595,0.81897,0.4808,0.34587,1.05334,1.22802,1.0465,0.00108938,0.00108938,0.00108938
9,181.01,1.12951,1.36805,1.1238,0.46337,0.79116,0.48547,0.357,0.98508,1.2612,1.03735,0.00100687,0.00100687,0.00100687
10,199.862,1.08301,1.27623,1.08761,0.46659,0.83663,0.49313,0.35734,1.06256,1.20144,1.05152,0.000924352,0.000924352,0.000924352
11,220.67,0.99861,1.23673,1.06274,0.4464,0.837,0.47959,0.35149,1.01614,1.2118,1.04696,0.000841835,0.000841835,0.000841835
12,239.408,0.95026,1.17912,1.04355,0.45056,0.84623,0.50716,0.37608,0.96192,1.184,1.01523,0.000759318,0.000759318,0.000759318
13,258.634,0.95634,1.13575,1.04056,0.45145,0.88185,0.49823,0.36442,0.97861,1.13416,1.01563,0.000676802,0.000676802,0.000676802
14,276.98,0.93124,1.111,1.01948,0.45002,0.80277,0.48042,0.35209,0.98218,1.15672,1.02232,0.000594286,0.000594286,0.000594286
15,296.564,0.92278,1.10468,1.01931,0.46553,0.77291,0.4917,0.36586,0.98526,1.13467,1.01631,0.000511769,0.000511769,0.000511769
16,314.959,0.88288,1.06419,1.0012,0.47162,0.85662,0.49718,0.3711,0.93094,1.09813,0.99944,0.000429253,0.000429253,0.000429253
17,334.493,0.87735,1.04401,1.00058,0.4557,0.86461,0.48272,0.37257,0.88434,1.09395,0.97239,0.000346736,0.000346736,0.000346736
18,352.676,0.85601,1.03376,0.97652,0.45222,0.87935,0.48411,0.36879,0.90094,1.09909,0.98458,0.00026422,0.00026422,0.00026422
19,371.887,0.82416,1.00734,0.98119,0.46649,0.86018,0.48819,0.37225,0.92102,1.09283,0.99052,0.000181703,0.000181703,0.000181703
20,390.091,0.81799,0.98855,0.95743,0.45493,0.8849,0.49266,0.37941,0.89058,1.09062,0.98079,9.91865e-05,9.91865e-05,9.91865e-05
