epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2857,1.39686,3.44561,1.24633,0.00146,0.4182,0.07065,0.04954,1.05791,3.37602,1.05484,0.000545744,0.000545744,0.000545744
2,37.5741,1.26075,2.37689,1.13941,0.178,0.15663,0.08408,0.04847,1.80001,3.92668,1.7328,0.0010796,0.0010796,0.0010796
3,54.4197,1.24678,2.06611,1.16306,0.40439,0.49638,0.34253,0.23375,1.26161,2.28616,1.22376,0.00159146,0.00159146,0.00159146
4,72.1445,1.19634,1.78979,1.1298,0.42547,0.68951,0.45286,0.30076,1.20422,1.50807,1.13212,0.00156798,0.00156798,0.00156798
5,89.7059,1.17847,1.61214,1.13269,0.43666,0.73701,0.4751,0.33619,1.0646,1.37434,1.04428,0.00153497,0.00153497,0.00153497
6,106.425,1.1442,1.48293,1.10571,0.44045,0.82613,0.51033,0.37465,1.01218,1.28139,1.03705,0.00150197,0.00150197,0.00150197
7,123.166,1.14758,1.39563,1.10568,0.46199,0.7724,0.48022,0.3196,1.14255,1.3654,1.11766,0.00146896,0.00146896,0.00146896
8,140.951,1.12498,1.34485,1.0906,0.45801,0.81415,0.46186,0.32061,1.11086,1.28544,1.06559,0.00143595,0.00143595,0.00143595
9,157.587,1.10739,1.30579,1.08864,0.45951,0.79542,0.48484,0.34719,1.04186,1.25398,1.06171,0.00140295,0.00140295,0.00140295
10,174.106,1.09366,1.26686,1.08812,0.47359,0.80902,0.48406,0.35175,1.03183,1.20124,1.04804,0.00136994,0.00136994,0.00136994
11,191.667,1.07432,1.24553,1.07659,0.46035,0.78292,0.48108,0.35464,0.99206,1.18579,1.02039,0.00133693,0.00133693,0.00133693
12,208.784,1.06066,1.21839,1.06674,0.46823,0.7301,0.487,0.34805,1.02072,1.23537,1.03592,0.00130393,0.00130393,0.00130393
13,225.79,1.04605,1.17869,1.05209,0.4721,0.82315,0.50648,0.36907,0.97553,1.21291,1.03392,0.00127092,0.00127092,0.00127092
14,242.775,1.04679,1.18464,1.0559,0.47912,0.81915,0.49064,0.35263,1.03391,1.23628,1.05921,0.00123791,0.00123791,0.00123791
15,260.632,1.05103,1.16848,1.05932,0.48181,0.83875,0.48997,0.34818,1.02251,1.18791,1.03654,0.00120491,0.00120491,0.00120491
16,277.65,1.02334,1.16186,1.04383,0.45723,0.78441,0.48427,0.34708,0.98343,1.15403,1.02295,0.0011719,0.0011719,0.0011719
17,294.512,1.00211,1.13801,1.03887,0.44875,0.83824,0.47795,0.34457,1.00834,1.182,1.04011,0.00113889,0.00113889,0.00113889
18,312.216,1.00639,1.12958,1.0522,0.43271,0.87739,0.47483,0.33952,0.99095,1.1912,1.03195,0.00110589,0.00110589,0.00110589
19,328.879,0.98807,1.11102,1.04678,0.44749,0.82139,0.46416,0.32191,1.08024,1.23185,1.08043,0.00107288,0.00107288,0.00107288
20,345.582,0.99934,1.11668,1.02729,0.44485,0.8132,0.48739,0.35965,1.00137,1.18785,1.02852,0.00103987,0.00103987,0.00103987
21,363.017,1.01527,1.11793,1.05673,0.45302,0.84587,0.49716,0.35724,0.99945,1.1781,1.02664,0.00100687,0.00100687,0.00100687
22,379.586,0.96753,1.08913,1.02799,0.44884,0.81965,0.4788,0.35094,0.96501,1.15662,1.02642,0.000973861,0.000973861,0.000973861
23,396.073,0.98579,1.06983,1.03485,0.44788,0.85468,0.46535,0.32076,1.08649,1.17262,1.06754,0.000940855,0.000940855,0.000940855
24,413.164,0.94135,1.03995,1.01511,0.40985,0.87785,0.44535,0.31004,1.01227,1.36679,1.03251,0.000907848,0.000907848,0.000907848
25,429.661,0.97168,1.05851,1.0356,0.44157,0.79392,0.45326,0.33711,0.94581,1.22802,1.01603,0.000874842,0.000874842,0.000874842
26,446.017,0.9402,1.05434,1.01247,0.41302,0.81214,0.42885,0.31217,0.99062,1.49049,1.03135,0.000841835,0.000841835,0.000841835
27,462.263,0.96765,1.04019,1.02164,0.43366,0.85263,0.45228,0.33489,0.9372,1.18877,1.01084,0.000808828,0.000808828,0.000808828
28,479.579,0.91873,1.05859,1.00496,0.42793,0.87636,0.47041,0.33958,0.96848,1.25762,1.03846,0.000775822,0.000775822,0.000775822
29,495.981,0.91156,0.98359,0.99573,0.45171,0.82951,0.4585,0.33372,0.96434,1.17886,1.0288,0.000742815,0.000742815,0.000742815
30,512.661,0.87878,0.97442,0.99514,0.45701,0.84449,0.47545,0.34855,0.9789,1.20777,1.02328,0.000709809,0.000709809,0.000709809
31,529.991,0.94282,0.98777,1.01306,0.44769,0.86633,0.48965,0.35051,0.97821,1.17636,1.02837,0.000676802,0.000676802,0.000676802
